,Name,Distance,Mass,Radius,,Name,Distance,Mass,Radius
47,Mintaka,1200,24.0,16.5,59,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763
48,Scheat,196,2.1,95,60,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
49,Almaaz,653,15.0,140,61,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
50,Rasalgethi,360,2.8,280,62,2MASS J0523−1403,40.0,0.064911984,0.10379063
51,Tau Ceti,11.9,0.783,0.893,64,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
52,Delta Pavonis,19.92,0.991,1.22,66,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
53,Ran,10.48,0.82,0.74,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
54,V382 Carinae,"8,900",20.0,485,70,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
55,Delta Cephei,887,4.5,44.5,71,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
56,Mu Cephei,"6,000",19.2,972,72,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
57,Titawin,44.25,1.27,1.48,74,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
58,P Cygni,"5,545",30.0,76,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
59,61 Cygni,11.41,0.7,0.665,76,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
60,Polaris Australis,281,1.59,3.74,77,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
61,R Coronae Borealis,"4,566",0.85,85,78,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
62,54 Piscium,36.1,0.76,0.94,80,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
63,Mira,300,1.2,370,81,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
64,RW Cephei,"14,000",13.9,"1,158",82,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
65,Lacaille 8760,12.87,0.6,0.51,85,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
66,II Pegasi,130,0.8,3.4,86,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
67,VY Canis Majoris,"3,900",17.0,"1,420",87,LHS 2021,55.0,0.084003744,0.11817744999999999
68,Pistol Star,"25,000",100.0,320,88,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
69,S Doradus,"169,000",24.0,380,89,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
70,Barnard's Star,5.98,0.14,0.2,90,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
71,Proxima Centauri,4.25,0.12,0.15,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
72,KIC 8462852,"1,470",1.43,1.58,92,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
73,R136a1,"163,000",290.0,32,94,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
74,Melnick 42,"163,000",189.0,21.1,95,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
75,WR 102,"18,134",19.0,0.39,96,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
76,VFTS 352,"164,000",57.48,14.47,97,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
77,YBP 1194,"2,772",1.01,0.99,98,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
78,Gliese 1214,47.5,0.16,0.21,101,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
79,VB 10,18.72,0.075,0.1,102,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
80,TRAPPIST-1,39.6,0.089,0.12,103,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
81,2MASS J0523-1403,40.3,0.07,0.086,104,DEN 1048-3956,13.15,0.073503276,0.10995641
